checkpoint_name,checkpoint_step,evals_done,evals_expected,avg_bleu,avg_chrf,external_wmt13_en_es_translation_benchmark_128_bleu,external_wmt13_en_es_translation_benchmark_128_chrf,indomain_clean_merged_en_es_translation_benchmark_128_bleu,indomain_clean_merged_en_es_translation_benchmark_128_chrf
checkpoint-004000,4000,2,2,43.2425,65.7911,32.4720,59.3062,54.0130,72.2760
checkpoint-003000,3000,2,2,42.9524,65.4037,32.0262,58.8538,53.8786,71.9535
checkpoint-001000,1000,2,2,42.9013,64.9547,32.0321,58.4863,53.7705,71.4232
checkpoint-002000,2000,2,2,42.5770,64.9064,31.0819,58.1075,54.0721,71.7052
