dataset_name,path,rows,overall,alignment_quality,duplication_hygiene,diversity,gold_similarity,external_match,indomain_match,exact_unique_ratio,source_unique_ratio,target_unique_ratio,digit_row_ratio,time_marker_ratio,date_word_row_ratio,gold_exact_overlap_pct,gold_loose_overlap_pct
gold_natural_draft.shard_03_draft_full,projects/distillation/translation/training_data/gold_shards_draft/gold_natural_draft.shard_03_draft_full.jsonl,640,72.6462,100.0,100.0,84.7685,32.0586,48.6675,36.5247,1.0,1.0,0.9969,0.0,0.0,0.0,0.0,0.0
gold_natural_draft.shard_04_seed_plus_manual,projects/distillation/translation/training_data/gold_shards_draft/gold_natural_draft.shard_04_seed_plus_manual.jsonl,194,69.2281,100.0,100.0,74.683,26.4589,44.3246,33.0145,1.0,1.0,1.0,0.0619,0.0,0.0,0.0,0.0
