dataset_name,path,rows,overall,alignment_quality,duplication_hygiene,diversity,gold_similarity,external_match,indomain_match,exact_unique_ratio,source_unique_ratio,target_unique_ratio,digit_row_ratio,time_marker_ratio,date_word_row_ratio,gold_exact_overlap_pct,gold_loose_overlap_pct
frozen_best5.pack_06.replace10.compat,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p10/pack_06/frozen_best5.pack_06.replace10.compat.jsonl,1600,81.7402,100.0,100.0,82.566,72.0613,54.5268,44.9032,1.0,1.0,1.0,0.0006,0.0,0.0006,47.25,60.0
frozen_best5.pack_06.replace05,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p05/pack_06/frozen_best5.pack_06.replace05.jsonl,1600,81.6986,100.0,100.0,82.6103,71.792,54.5611,44.9257,1.0,0.9988,1.0,0.0013,0.0,0.0013,46.75,59.625
frozen_best5.pack_06.prune05,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p05/pack_06/frozen_best5.pack_06.prune05.jsonl,1584,81.6371,100.0,100.0,82.6864,71.4283,54.5741,44.9106,1.0,0.9987,1.0,0.0013,0.0,0.0013,46.2121,59.2172
frozen_best5.pack_06.prune10,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p10/pack_06/frozen_best5.pack_06.prune10.jsonl,1568,81.6207,100.0,100.0,82.7202,71.3423,54.5614,44.8806,1.0,1.0,1.0,0.0006,0.0,0.0006,46.1735,59.1837
