dataset_name,path,rows,overall,alignment_quality,duplication_hygiene,diversity,gold_similarity,external_match,indomain_match,exact_unique_ratio,source_unique_ratio,target_unique_ratio,digit_row_ratio,time_marker_ratio,date_word_row_ratio,gold_exact_overlap_pct,gold_loose_overlap_pct
gold_natural_draft.shard_03_draft_full,projects/distillation/translation/training_data/gold_shards_draft/gold_natural_draft.shard_03_draft_full.jsonl,640,72.58,100.0,100.0,84.3313,32.2648,48.4694,36.3046,1.0,1.0,0.9969,0.0047,0.0,0.0,0.0,0.0
gold_quality_4x640.shard_03_mined_exact,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_03_mined_exact.jsonl,640,71.7661,98.6584,97.5391,90.3777,26.5646,48.3998,38.2819,1.0,0.9703,0.9938,0.6062,0.0,0.0,0.0,0.0
