dataset_name,path,rows,overall,alignment_quality,duplication_hygiene,diversity,gold_similarity,external_match,indomain_match,exact_unique_ratio,source_unique_ratio,target_unique_ratio,digit_row_ratio,time_marker_ratio,date_word_row_ratio,gold_exact_overlap_pct,gold_loose_overlap_pct
gold_quality_4x640.train_4x640,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.train_4x640.jsonl,2560,80.806,99.3454,98.8574,80.8453,70.2681,54.9006,45.0335,1.0,0.9809,0.9965,0.223,0.0,0.0008,50.0,50.0
gold_quality_4x640.shard_04_hybrid_full,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_04_hybrid_full.jsonl,640,70.4189,99.5474,99.2969,79.1006,27.9387,46.321,35.7521,1.0,0.9844,0.9969,0.2812,0.0,0.0,0.0,0.0
