dataset_name,path,rows,overall,alignment_quality,duplication_hygiene,diversity,gold_similarity,external_match,indomain_match,exact_unique_ratio,source_unique_ratio,target_unique_ratio,digit_row_ratio,time_marker_ratio,date_word_row_ratio,gold_exact_overlap_pct,gold_loose_overlap_pct
gold_expansion.candidate_exact_hard,projects/distillation/translation/training_data/gold_expansion/gold_expansion.candidate_exact_hard.jsonl,1796,75.9325,88.5942,73.686,78.8494,82.752,54.1229,45.112,1.0,0.8797,0.8898,0.1136,0.0,0.0011,71.2695,71.2695
gold_plus_640.exact_mined,projects/distillation/translation/training_data/gold_expansion/gold_plus_640.exact_mined.jsonl,640,71.7658,98.6584,97.5391,90.3777,26.5646,48.3998,38.2787,1.0,0.9703,0.9938,0.6062,0.0,0.0,0.0,0.0
gold_plus_512.exact_mined,projects/distillation/translation/training_data/gold_expansion/gold_plus_512.exact_mined.jsonl,512,71.5966,98.4968,97.3438,90.525,25.8988,48.6005,38.2741,1.0,0.9688,0.9922,0.5996,0.0,0.0,0.0,0.0
gold_plus_1280.exact_mined,projects/distillation/translation/training_data/gold_expansion/gold_plus_1280.exact_mined.jsonl,970,69.6946,98.5976,97.384,75.1385,27.6488,48.42,38.6519,1.0,0.9691,0.9938,0.5856,0.0,0.0,0.0,0.0
gold_expansion.exact_mined,projects/distillation/translation/training_data/gold_expansion/gold_expansion.exact_mined.jsonl,512,57.4551,85.0,40.0,84.6496,24.2967,46.6291,37.3543,1.0,0.5996,0.6133,0.3926,0.0,0.0,0.0,0.0
