checkpoint_name,checkpoint_step,evals_done,evals_expected,avg_bleu,avg_chrf,external_wmt13_en_es_translation_benchmark_128_bleu,external_wmt13_en_es_translation_benchmark_128_chrf
checkpoint-000025,25,1,1,33.8287,59.6799,33.8287,59.6799
checkpoint-000015,15,1,1,33.8015,59.7271,33.8015,59.7271
checkpoint-000010,10,1,1,33.7010,59.5640,33.7010,59.5640
checkpoint-000030,30,1,1,33.6874,59.4513,33.6874,59.4513
checkpoint-000020,20,1,1,33.6780,59.6850,33.6780,59.6850
checkpoint-000005,5,1,1,33.4991,59.5757,33.4991,59.5757
