checkpoint_name,checkpoint_step,evals_done,evals_expected,avg_bleu,avg_chrf,external_wmt13_en_es_translation_benchmark_128_bleu,external_wmt13_en_es_translation_benchmark_128_chrf,indomain_clean_merged_en_es_translation_benchmark_128_bleu,indomain_clean_merged_en_es_translation_benchmark_128_chrf
checkpoint-008000,8000,2,2,37.0596,63.3637,26.4766,56.7615,47.6425,69.9659
checkpoint-016000,16000,2,2,36.7124,63.3293,25.9958,56.8890,47.4291,69.7695
checkpoint-032000,32000,2,2,36.6406,63.0862,25.9377,56.4858,47.3434,69.6866
checkpoint-024000,24000,2,2,36.6062,63.1670,25.7862,56.5766,47.4261,69.7575
