checkpoint_name,checkpoint_step,evals_done,evals_expected,avg_bleu,avg_chrf,external_wmt13_en_es_translation_benchmark_128_bleu,external_wmt13_en_es_translation_benchmark_128_chrf,indomain_clean_merged_en_es_translation_benchmark_128_bleu,indomain_clean_merged_en_es_translation_benchmark_128_chrf
checkpoint-003000,3000,2,2,43.8997,66.1613,32.9055,59.4631,54.8940,72.8595
checkpoint-004000,4000,2,2,43.4537,65.9069,32.0768,59.1377,54.8306,72.6761
checkpoint-002000,2000,2,2,42.6211,65.0359,32.1052,58.4338,53.1370,71.6379
checkpoint-001000,1000,2,2,40.9226,64.4972,30.8198,57.3670,51.0253,71.6275
