checkpoint_name,checkpoint_step,evals_done,evals_expected,avg_bleu,avg_chrf,external_wmt13_en_es_translation_benchmark_128_bleu,external_wmt13_en_es_translation_benchmark_128_chrf
checkpoint-000025,25,1,1,34.1896,59.9388,34.1896,59.9388
checkpoint-000100,100,1,1,33.9422,59.7282,33.9422,59.7282
checkpoint-000175,175,1,1,33.8118,59.6494,33.8118,59.6494
checkpoint-000125,125,1,1,33.7526,59.7620,33.7526,59.7620
checkpoint-000150,150,1,1,33.7002,59.5445,33.7002,59.5445
checkpoint-000050,50,1,1,33.6949,59.7129,33.6949,59.7129
checkpoint-000075,75,1,1,33.6152,59.6739,33.6152,59.6739
checkpoint-000200,200,1,1,33.5459,59.5717,33.5459,59.5717
