run_name,timestamp_utc,pair_count,pairs_input_spec,schedule,sft_steps,distill_steps,lambda_kd,mu_triplet,resumed,resume_stage,resume_from,selected_checkpoint,selected_checkpoint_stage,selected_checkpoint_loss,summary_path
translategemma4b_es_en_gemma3_1b_stagebfix02_train1152_kd0p05_trip0_steps4k_20260304_101041,2026-03-04 15:40:41 UTC,1152,projects/distillation/translation/training_data/translate_distill_pairs.train.jsonl,A_then_B,32000,4000,0.0500,0.0000,true,stage_b,projects/distillation/translation/runs/translategmma4b_es_en_gemma3_1b_full_20260303_114100/stage_a/checkpoint-032000,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagebfix02_train1152_kd0p05_trip0_steps4k_20260304_101041/stage_b/checkpoint-004000,stage_b,0.1007,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagebfix02_train1152_kd0p05_trip0_steps4k_20260304_101041/train_summary.json
translategemma4b_es_en_gemma3_1b_stagebfix01_train1152_kd0p05_trip0_steps4k_20260304_100816,2026-03-04 15:09:14 UTC,1152,projects/distillation/translation/training_data/translate_distill_pairs.train.jsonl,A_then_B,32000,4000,0.0500,0.0000,true,stage_b,projects/distillation/translation/runs/translategmma4b_es_en_gemma3_1b_full_20260303_114100/stage_a/checkpoint-032000,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagebfix01_train1152_kd0p05_trip0_steps4k_20260304_100816/train_summary.json
translategmma4b_es_en_gemma3_1b_full_20260303_114100,2026-03-04 03:11:44 UTC,1280,projects/distillation/translation/training_data/translate_distill_pairs.jsonl,A_then_B,32000,32000,0.5000,0.1000,true,stage_b,projects/distillation/translation/runs/translategmma4b_es_en_gemma3_1b_full_20260303_114100/stage_b/checkpoint-000005,projects/distillation/translation/runs/translategmma4b_es_en_gemma3_1b_full_20260303_114100/stage_b/checkpoint-032000,stage_b,0.3275,projects/distillation/translation/runs/translategmma4b_es_en_gemma3_1b_full_20260303_114100/train_summary.json
translategemma4b_es_en_gemma3_1b_full_20260303_114100_restart01,2026-03-03 20:34:16 UTC,1280,projects/distillation/translation/training_data/translate_distill_pairs.jsonl,A_then_B,32000,32000,0.5000,0.1000,true,stage_a,projects/distillation/translation/runs/translategmma4b_es_en_gemma3_1b_full_20260303_114100/stage_a/checkpoint-032000,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_full_20260303_114100_restart01/train_summary.json
