checkpoint_name,checkpoint_step,evals_done,evals_expected,avg_bleu,avg_chrf,external_wmt13_en_es_translation_benchmark_128_bleu,external_wmt13_en_es_translation_benchmark_128_chrf,indomain_clean_merged_en_es_translation_benchmark_128_bleu,indomain_clean_merged_en_es_translation_benchmark_128_chrf
checkpoint-004000,4000,2,2,44.0926,65.9790,33.7353,59.6065,54.4500,72.3516
checkpoint-003500,3500,2,2,44.0460,65.9633,33.4022,59.4927,54.6898,72.4340
checkpoint-003000,3000,2,2,43.9112,65.8663,33.2716,59.5406,54.5508,72.1920
checkpoint-002500,2500,2,2,43.7060,65.8763,33.0415,59.3629,54.3705,72.3898
checkpoint-002000,2000,2,2,43.0949,65.2138,33.0678,58.9794,53.1220,71.4482
checkpoint-001500,1500,2,2,42.0759,64.9769,32.6461,59.1541,51.5057,70.7998
checkpoint-001000,1000,2,2,41.7181,64.0405,31.6930,57.7490,51.7432,70.3320
checkpoint-000500,500,2,2,37.7750,61.9346,29.5577,56.4385,45.9923,67.4306
