pack_index,path,rows,quality_overall,alignment_quality,duplication_hygiene,diversity,template_hygiene,avg_row_quality,avg_naturalness
1,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_01.q97_4484.rows320.jsonl,320,97.4484,100.0,100.0,89.3256,97.9167,1093.2458,97.7771
2,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_02.q97_1397.rows320.jsonl,320,97.1397,100.0,100.0,89.188,96.5104,1052.45,93.0203
3,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_03.q96_4352.rows320.jsonl,320,96.4352,100.0,100.0,82.1759,100.0,1061.4116,99.3241
4,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_04.q96_3328.rows320.jsonl,320,96.3328,100.0,100.0,81.6641,100.0,1095.457,99.957
5,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_05.q96_0642.rows320.jsonl,320,96.0642,100.0,100.0,80.3209,100.0,1095.5,100.0
6,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_06.q95_9634.rows320.jsonl,320,95.9634,100.0,100.0,87.161,92.6562,1084.8955,90.1736
7,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_07.q95_2356.rows320.jsonl,320,95.2356,100.0,100.0,80.1885,95.9896,1007.009,91.9762
8,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_08.q89_5038.rows320.jsonl,320,89.5038,100.0,100.0,82.5188,65.0,845.5115,97.9474
