checkpoint_name,checkpoint_step,evals_done,evals_expected,avg_bleu,avg_chrf,external_wmt13_en_es_translation_benchmark_128_bleu,external_wmt13_en_es_translation_benchmark_128_chrf,indomain_clean_merged_en_es_translation_benchmark_128_bleu,indomain_clean_merged_en_es_translation_benchmark_128_chrf
checkpoint-004000,4000,2,2,42.8843,65.9531,31.6237,58.6982,54.1449,73.2081
checkpoint-002000,2000,2,2,42.5377,65.5767,32.2180,58.7093,52.8574,72.4442
checkpoint-003000,3000,2,2,42.5251,65.8250,31.5986,58.6758,53.4517,72.9742
checkpoint-001000,1000,2,2,39.8837,63.8845,30.5462,57.6860,49.2213,70.0831
