run_name,dataset_label,pair_count,group_label,eval_variant,eval_checkpoint,decode,external_bleu,indomain_bleu
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.2489,53.8952
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_codexblend_pack06r10_pack08_v1,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.2180,52.8574
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T200534Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.2113,54.3861
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T192425Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.1940,52.7203
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1,frozen_best5.pack_06.replace10.compat.jsonl,1600,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.1507,53.7327
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.1481,55.5626
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,train_pairs.rows1584.normalized.jsonl,1584,stage_a__checkpoint-002500,stage_a,checkpoint-002500,greedy,32.1175,53.6874
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.1052,53.1370
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.1052,53.1370
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.0768,54.8306
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.0768,54.8306
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,32.0321,53.7705
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.0262,53.8786
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.0233,55.9294
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T062002Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.0130,55.3247
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-001500,stage_a,checkpoint-001500,greedy,31.9809,51.4450
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T212318Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.9598,54.6568
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_confirm_best4,train_pairs.rows1280.merged.jsonl,1280,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.9541,52.5660
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,train_pairs.rows1584.normalized.jsonl,1584,stage_a__checkpoint-001500,stage_a,checkpoint-001500,greedy,31.9492,51.4231
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T224540Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.8923,55.3129
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T025326Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.8819,53.8880
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T232655Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.8746,54.1434
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.8697,53.9366
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T212756Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.8692,54.9282
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T004931Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.8592,50.7787
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.8522,53.3348
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.8522,53.3348
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.8419,52.9727
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,31.8133,54.4194
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.7656,54.8620
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,31.6930,51.7432
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,31.6900,53.6045
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,31.6740,56.0748
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_codexblend_pack06r10_pack08_v1,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.6237,54.1449
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_codexblend_pack06r10_pack08_v1,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,31.5986,53.4517
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,31.5913,53.3759
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T224540Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.5806,56.2174
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T200534Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.5741,55.0938
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T225020Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.5726,56.0758
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T070121Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.5262,54.4294
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T033442Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.5088,54.3753
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T013050Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.4725,55.3885
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T013050Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.4675,54.8681
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T004931Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.4576,53.0721
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T062002Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.4556,55.0694
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T192425Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.4156,54.4935
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T225020Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.4076,54.6121
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T045717Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.3818,53.3306
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T220906Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.3516,53.6478
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T180127Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.3512,53.3460
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T021203Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.2679,55.0978
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T000816Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.2658,53.8396
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.2568,54.8510
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T212318Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.2176,54.8412
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T220428Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.1961,55.0061
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T192822Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.1363,52.9668
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,train_pairs.rows1584.normalized.jsonl,1584,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,31.1291,51.4466
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T204640Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.1040,53.7266
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T203554Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.0910,53.5193
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.0819,54.0721
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T220906Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.0275,52.2658
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T033442Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.0208,55.5242
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T192822Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.0039,53.6107
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,30.9817,50.7135
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T041600Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,30.9738,53.6174
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T021203Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,30.9203,53.5783
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T041600Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,30.9031,54.4095
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,30.8992,53.4706
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,30.8992,53.4706
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,train_pairs.rows1584.normalized.jsonl,1584,stage_a__checkpoint-000500,stage_a,checkpoint-000500,greedy,30.8518,49.4667
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,30.8410,53.6515
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-002500,stage_a,checkpoint-002500,greedy,30.8399,56.2462
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T070121Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,30.8342,54.2158
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,30.8198,51.0253
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,30.8198,51.0253
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,30.7777,52.0395
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1,frozen_best5.pack_06.replace10.compat.jsonl,1600,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,30.7339,51.1898
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T233133Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,30.7102,55.2411
