category	index	name	type	dims	strides	bytes	sha256	payload
parameter	193	w_r_16	BF16	128,320,8	2,256,81920	655360	1e5dd72e2a5e93ccfaa9edaead21996f87365388f2d90ddb13ae54f88de5a488	parameters/00193.bin
parameter	194	w_q_16	BF16	1024,1024	2,2048	2097152	1875ac1e95e4529e5afa820df87630806dc9cafdb2f08bc65de15bf1c61f2506	parameters/00194.bin
parameter	195	w_kv_16	BF16	2048,1024	2,4096	4194304	d5fbe32b944e63f3bef2d5de4ec81988f22440300543ef5bb7f6da1d3760b799	parameters/00195.bin
parameter	196	w_o_16	BF16	1024,1024	2,2048	2097152	535047a89d723e44830290f754076a564e6ca89137eec3d30ee10851356ddd37	parameters/00196.bin
parameter	197	ff1_16	BF16	6144,1024	2,12288	12582912	205808072f13c7fcd5cecf878afcf50f0d8a016ffabc3f33339b1ab70f6887c3	parameters/00197.bin
parameter	198	ff_bias1_16	BF16	6144	2	12288	548cdb6de0aba22395f93c42bf2e26459edaeec805e958a6e053e239b80be27e	parameters/00198.bin
parameter	199	ff2_16	BF16	1024,3072	2,2048	6291456	62f6deba93ecd9023b623745e58543e15dc1058894d965fd873c01938464213d	parameters/00199.bin
parameter	200	ff_bias2_16	BF16	1024	2	2048	537599bcca0c47730bac37d608197e0cca7d94cc8d1379c72cfbbd8a1f85c677	parameters/00200.bin
parameter	201	ln_g_32	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00201.bin
parameter	202	ln_b_32	BF16	1024	2	2048	bdaac2ae30f7e7bc151391aef2c5073f8805d795445b4b89a7de2c998954b29b	parameters/00202.bin
parameter	203	ln_g_33	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00203.bin
parameter	204	ln_b_33	BF16	1024	2	2048	4dfdb1176e4d926f8e78576d7ea12bcfd9fb4f140c68b890a91b36828d768374	parameters/00204.bin
parameter	205	w_r_17	BF16	128,320,8	2,256,81920	655360	470aa396deaddaf8c94841572a3a034c93d1943054c6a4a0966613e98df2dfc9	parameters/00205.bin
parameter	206	w_q_17	BF16	1024,1024	2,2048	2097152	81d92a20dee7456171b4395311b43a46a22f860d227f331834b69127f670751b	parameters/00206.bin
parameter	207	w_kv_17	BF16	2048,1024	2,4096	4194304	1671b3171cb646eef75afa9884e6a83987202afd5222ac621ea0f848ee6bbc5b	parameters/00207.bin
parameter	208	w_o_17	BF16	1024,1024	2,2048	2097152	c2416e36a729c7807ac74395f3e26d85b869db28523a698b5267918210eabd7c	parameters/00208.bin
parameter	209	ff1_17	BF16	6144,1024	2,12288	12582912	2c8ce3ed6e69a1a10310797d8467056790bc09d187291eba3f49f02b550dc5b4	parameters/00209.bin
parameter	210	ff_bias1_17	BF16	6144	2	12288	c58148d956fdc918349d211e65449e23689da25107dbfc289bc05436ebb97897	parameters/00210.bin
parameter	211	ff2_17	BF16	1024,3072	2,2048	6291456	69f7838c8dd809fc10d1df3c1faae7e92fb0a63f0c7263225fcea735ab95654e	parameters/00211.bin
parameter	212	ff_bias2_17	BF16	1024	2	2048	ce87b0e35ce4a5c96e453fdfac36dfbda3c56e89ca49b756991248602c50e7d9	parameters/00212.bin
parameter	213	ln_g_34	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00213.bin
parameter	214	ln_b_34	BF16	1024	2	2048	fe9d922453979cb772a94a88eaba81ef4a190079ee1aa860bfaf196e76621993	parameters/00214.bin
parameter	215	ln_g_35	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00215.bin
parameter	216	ln_b_35	BF16	1024	2	2048	b3795c4a1bae1926b415bb202a6abaaed69c6ff3b489a3fc30ea984f04485d16	parameters/00216.bin
parameter	217	w_r_18	BF16	128,320,8	2,256,81920	655360	82233c89ca3d2f845a76fee394fab0338ec4e8eba8748c740c4bd584380a9aff	parameters/00217.bin
parameter	218	w_q_18	BF16	1024,1024	2,2048	2097152	da308c85a30bc2c1ffdc3f07ae7a5efcb211486af57a2f7709b0ba4b8c18bea9	parameters/00218.bin
parameter	219	w_kv_18	BF16	2048,1024	2,4096	4194304	3c45726ddc7005727fd84b75742750290a822051e4eb1fd9b252da76ea98ed42	parameters/00219.bin
parameter	220	w_o_18	BF16	1024,1024	2,2048	2097152	c5f9babd24f924ca81a3e2a4585b44a7c836117c6395d0eb3162131955a97eb4	parameters/00220.bin
parameter	221	ff1_18	BF16	6144,1024	2,12288	12582912	c8ab036f1af24d973267292bf8047b96314743bec6e13d3f414077c1dd2485d8	parameters/00221.bin
parameter	222	ff_bias1_18	BF16	6144	2	12288	8b11ab4242b299190bb90c079fc25bac0d9074a57a228591fcb02e2b4256a3ee	parameters/00222.bin
parameter	223	ff2_18	BF16	1024,3072	2,2048	6291456	164d2fcb2b9aa8cd8709b6bcdd7f47f93db3fe4a1bfc53709ff83ef84eb23a07	parameters/00223.bin
parameter	224	ff_bias2_18	BF16	1024	2	2048	59c6ac5a9178734b4e5fe218a0918996f2395381812de2807677488360e30de2	parameters/00224.bin
parameter	225	ln_g_36	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00225.bin
parameter	226	ln_b_36	BF16	1024	2	2048	5178e6d096fc6986e3adb9d4395782da4898b7a83707a8d0015ed28af0d60361	parameters/00226.bin
parameter	227	ln_g_37	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00227.bin
parameter	228	ln_b_37	BF16	1024	2	2048	a48ec00cde132b70a0643fe0b82c94fa1492857164d8b927522f9cedb0c460b7	parameters/00228.bin
parameter	229	w_r_19	BF16	128,320,8	2,256,81920	655360	f1044b761b3a364cb3daa80a37f0e7532cf910cc0289bbf0f24893df32876542	parameters/00229.bin
parameter	230	w_q_19	BF16	1024,1024	2,2048	2097152	306ecd758598af52b91b4737e3ef14aaa1bb57fa561064a86b23513b81d873fa	parameters/00230.bin
parameter	231	w_kv_19	BF16	2048,1024	2,4096	4194304	67576989715539ea549915dddcbe4834a1b55ffb1afebe990d7201c6b37f1db2	parameters/00231.bin
parameter	232	w_o_19	BF16	1024,1024	2,2048	2097152	5b357d2c15b006718931a3ffce47f7d1d75d3725b958bb32709692d35c622cfe	parameters/00232.bin
parameter	233	ff1_19	BF16	6144,1024	2,12288	12582912	00d9f8dcd43bf8dfd9e314e7ee3eefb8c1dd889d6f15bfbece97f96c3b9fbc2e	parameters/00233.bin
parameter	234	ff_bias1_19	BF16	6144	2	12288	162086daa6241630a5f81e50b2ecd7443c6d402d33aa217560c45455f4abfa95	parameters/00234.bin
parameter	235	ff2_19	BF16	1024,3072	2,2048	6291456	bd658269e6bda44da0d34e60227e213e8a00a0bb3704868c7d462253e8e3e0f3	parameters/00235.bin
parameter	236	ff_bias2_19	BF16	1024	2	2048	da9bd76e0134b13a549acd071f5ee2a19d7c6485a2816149ce699aace4985e19	parameters/00236.bin
parameter	237	ln_g_38	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00237.bin
parameter	238	ln_b_38	BF16	1024	2	2048	8db65d5bf5e19b6e4af4b1da9802e15e66b5952d037769a855add889b9abb6e2	parameters/00238.bin
parameter	239	ln_g_39	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00239.bin
parameter	240	ln_b_39	BF16	1024	2	2048	11a036f62fb51881c40ac24c9786cdb449a5c8a6c36234030b37baf2a42d9f84	parameters/00240.bin
parameter	241	ln_g_40	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00241.bin
parameter	242	ln_b_40	BF16	1024	2	2048	c5e900032b778133221b6e7b98b3f9413c0c08b8a933f357199b64f86f1269a8	parameters/00242.bin
parameter	243	embed	F32	1024,16392	4,4096	67141632	cd57e07f3df1a0af355a3307afd7ff3b38aad9634d3bffd66b2b0dfad7030dc9	parameters/00243.bin
parameter	244	embed_out	BF16	16392,1024	2,32784	33570816	c6488fce1326daa06769c36b64e301b79302863710f803b7e941b745f52f6c2e	parameters/00244.bin
parameter	245	out_bias	BF16	16392	2	32784	c2a462b460f23d8dcd0b0d40c501b083b8a9103ffcf60e9e92deaa452d9ff202	parameters/00245.bin
state	0	input_stream_0	I32	1,64	4,4	256	c262c2fb6e9a1615b87fb09d687337d4f87392ceb5cbd0fd8367bc489e34e7be	state/00000.bin
state	1	mem_h_0_stream_0	BF16	1024,1,256	2,2048,2048	524288	5ce5cd509824ab7f67dfb27e3a4cf1827a5095b9f203d51dddebd1cefd836fe1	state/00001.bin
state	2	mem_h_1_stream_0	BF16	1024,1,256	2,2048,2048	524288	458a3551334ff9ddc55ae821dd7826c0ab76a3d552febe363f80f20eda493ecf	state/00002.bin
state	3	mem_h_2_stream_0	BF16	1024,1,256	2,2048,2048	524288	fb1056398d4ec2c4459a5a51a9d8ea95d2a5048c3cf3e61e1f6e66efd8d7fb49	state/00003.bin
state	4	mem_h_3_stream_0	BF16	1024,1,256	2,2048,2048	524288	4f5bd65a92787118f704cd844c5e49eb3817399c09c000c4f31e79972069f22c	state/00004.bin
state	5	mem_h_4_stream_0	BF16	1024,1,256	2,2048,2048	524288	815139d321cb144be0a6662c7df690a434635978d45c700c99a5435f03b0355f	state/00005.bin
state	6	mem_h_5_stream_0	BF16	1024,1,256	2,2048,2048	524288	d3458020a67ceb0699867e3b3d0dfa3907d26da3df7a0a13a723cae7dad27303	state/00006.bin
state	7	mem_h_6_stream_0	BF16	1024,1,256	2,2048,2048	524288	03b7a083d4d960cb4f86bfd7ada82daa781515ed8fe7fb578e0a4b030f8e76b8	state/00007.bin
state	8	mem_h_7_stream_0	BF16	1024,1,256	2,2048,2048	524288	074485975c84e48ee7621974c80cc738913356dcf969bc094444b37453edb3a9	state/00008.bin
state	9	mem_h_8_stream_0	BF16	1024,1,256	2,2048,2048	524288	f7f03ae577c5c311cea3ee4b2117365410b4cd488f53c5165ee849c9f406a510	state/00009.bin
state	10	mem_h_9_stream_0	BF16	1024,1,256	2,2048,2048	524288	2d9f93dd28fcfa664c4e0040a8241e750181455be3ad4dfab93f68cf070a12ee	state/00010.bin
state	11	mem_h_10_stream_0	BF16	1024,1,256	2,2048,2048	524288	4bef5372e7fa75224d089e9ca66e97caaf98fe7da27f128d6639e0ded0bd5d8f	state/00011.bin
